20240613 063200,5502.5,5503.25,5502.5,5503.25,38
20240613 063300,5503,5503,5502.25,5502.5,96
20240613 063400,5502.5,5503,5502.5,5503,30
20240613 063500,5503,5503,5503,5503,15
20240613 063600,5503,5503,5502.75,5503,30
20240613 063700,5503.25,5503.75,5503.25,5503.75,79
20240613 063800,5503.75,5503.75,5503.5,5503.5,41
20240613 063900,5503.75,5504,5503.75,5504,42
20240613 064000,5503.75,5504,5503.75,5503.75,24
20240613 064100,5503.75,5504,5503.75,5504,11
20240613 064200,5504,5504.75,5504,5504.5,57
20240613 064300,5504.5,5504.75,5504.5,5504.75,21
20240613 064400,5505,5505.5,5505,5505.5,50
20240613 064500,5505.5,5506,5505.5,5505.75,84
20240613 064600,5505.75,5505.75,5505.5,5505.75,51
20240613 064700,5505.75,5506.25,5505.5,5505.5,41
20240613 064800,5505.5,5506,5505.5,5505.75,35
20240613 064900,5506,5506,5505.75,5505.75,28
20240613 065000,5505.75,5506.25,5505.75,5506.25,62
20240613 065100,5506.25,5506.25,5506,5506,63
20240613 065200,5506.25,5506.25,5505.75,5506,54
20240613 065300,5506,5506,5506,5506,14
20240613 065500,5506,5506,5505.75,5505.75,31
20240613 065600,5506,5506,5505.75,5505.75,46
20240613 065700,5505.75,5505.75,5505.25,5505.5,24
20240613 065800,5505.5,5505.5,5505.25,5505.5,39
20240613 065900,5505.5,5505.5,5505.25,5505.5,18
20240613 070000,5505.5,5505.75,5505.25,5505.5,48
20240613 070100,5505.5,5505.75,5505,5505.25,84
20240613 070200,5505.5,5506,5505,5505,95
20240613 070300,5505,5505,5504.5,5505,100
20240613 070400,5505.25,5505.25,5505,5505,35
20240613 070500,5505.25,5505.5,5505.25,5505.25,30
20240613 070600,5505.25,5505.5,5504.75,5505.25,93
20240613 070700,5505.25,5505.5,5504,5504.5,203
20240613 070800,5504.75,5505.75,5504.75,5505.5,84
20240613 070900,5506,5506.5,5505.75,5506,96
20240613 071000,5506.25,5507,5506.25,5506.5,129
